Average, Lower Bound, Upper Bound, Rho, Capacity, Model-Version
 798599.198932, 790604.390423, 806594.007441, 0.1, 1800, Model 1.0
 915551.571644, 909917.329838, 921185.813451, 0.1, 1800, Model 2.0
 913899.691586, 909089.733681, 918709.64949, 0.1, 1800, Model 2.1
 1314648.7677, 1305337.69783, 1323959.83757, 0.1, 1800, Model 3.0
 1320011.2081, 1310185.39919, 1329837.01701, 0.1, 1800, Model 3.1
 891654.38697, 884398.699867, 898910.074074, 0.1, 1800, Model 4.0
 893120.357238, 887679.478958, 898561.235518, 0.1, 1800, Model 4.1
 1134201.99441, 1102793.01334, 1165610.97547, 0.1, 1800, Model 4.2
 1062959.50052, 991169.648422, 1134749.35262, 0.1, 1800, Model 4.3
 799325.995732, 788654.759204, 809997.23226, 0.1, 2200, Model 1.0
 973398.208872, 964716.031177, 982080.386566, 0.1, 2200, Model 2.0
 973216.995944, 965338.432522, 981095.559367, 0.1, 2200, Model 2.1
 1351767.13279, 1340702.87078, 1362831.3948, 0.1, 2200, Model 3.0
 1354756.25046, 1345195.71679, 1364316.78413, 0.1, 2200, Model 3.1
 939235.799343, 935429.662926, 943041.93576, 0.1, 2200, Model 4.0
 941398.943993, 934091.551094, 948706.336893, 0.1, 2200, Model 4.1
 833273.913253, 827987.115881, 838560.710625, 0.1, 2200, Model 4.2
 833309.301395, 827494.470276, 839124.132514, 0.1, 2200, Model 4.3
 801507.941332, 791490.477689, 811525.404974, 0.1, 2600, Model 1.0
 1025875.01622, 1019075.26328, 1032674.76916, 0.1, 2600, Model 2.0
 1025470.22745, 1016506.25634, 1034434.19855, 0.1, 2600, Model 2.1
 1382116.85008, 1371822.26957, 1392411.43058, 0.1, 2600, Model 3.0
 1382546.81282, 1368935.86758, 1396157.75806, 0.1, 2600, Model 3.1
 986394.419949, 983191.691206, 989597.148692, 0.1, 2600, Model 4.0
 989262.847719, 981705.24925, 996820.446189, 0.1, 2600, Model 4.1
 852111.1318, 844378.300858, 859843.962741, 0.1, 2600, Model 4.2
 851204.619177, 842372.346751, 860036.891603, 0.1, 2600, Model 4.3
 1034894.04669, 1022674.0223, 1047114.07109, 0.3, 1800, Model 1.0
 1126316.54494, 1121639.91276, 1130993.17712, 0.3, 1800, Model 2.0
 1128268.0872, 1121362.45582, 1135173.71857, 0.3, 1800, Model 2.1
 1530161.10212, 1514201.59672, 1546120.60752, 0.3, 1800, Model 3.0
 1529603.15629, 1513621.9673, 1545584.34528, 0.3, 1800, Model 3.1
 1109932.0401, 1101153.96854, 1118710.11165, 0.3, 1800, Model 4.0
 1105964.4057, 1097140.06071, 1114788.75069, 0.3, 1800, Model 4.1
 1275071.92101, 1255348.71148, 1294795.13054, 0.3, 1800, Model 4.2
